"Value Research Online"
"Date: 28-Jul-2015 14:48"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"HSBC Dividend Yield Equity Fund","* ","-0.6","125/135","2.03","122/135","9.96","113/125","17.58","59/66","8.85","53/61","-","-"
"HSBC Dynamic Fund","* ","-0.78","142/148","2.4","92/145","8.87","84/143","14.12","73/75","7.11","64/64","-","-"
"HSBC Emerging Markets Fund","Unrated","-9.31","-","-16.84","-","-12.85","-","3.31","-","2.42","-","-","-"
"HSBC Equity Fund","* ","-0.04","94/148","3.12","71/145","8.14","100/143","17.5","66/75","8.55","57/64","13.95","18/35"
"HSBC Global Consumer Opportunities Fund - Regular Plan","Unrated","-2.96","-","-5.45","-","-","-","-","-","-","-","-","-"
"HSBC India Opportunities Fund","* * * * ","-0.76","127/135","3.62","106/135","18.06","90/125","24.85","30/66","14.36","11/61","15.77","22/28"
"HSBC Midcap Equity Fund","* ","7.17","2/114","11.61","14/114","34.54","55/112","33.69","28/52","12.06","44/48","13.17","19/20"
"HSBC Progressive Themes Fund","* ","6.13","7/114","10.27","25/114","26.73","81/112","24.89","47/52","7.4","47/48","-","-"
"HSBC Tax Saver Equity Fund","* * * ","1.16","47/75","5.45","46/75","17.41","57/73","24.76","16/37","13.33","16/36","-","-"
"ICICI Prudential Advisor Series - Very Aggressive Plan - Regular Plan","Unrated","1.73","22/148","0.44","140/145","11.04","62/143","13.25","75/75","8.64","56/64","13.37","22/35"
"ICICI Prudential Banking and Financial Services Fund - Regular Plan","* * * * * ","1.7","4/29","7.62","2/29","23.78","6/23","28.87","1/13","17.31","1/10","-","-"
"ICICI Prudential CNX 100 ETF Fund","Unrated","0.48","61/148","3.3","69/145","10.87","66/143","-","-","-","-","-","-"
"ICICI Prudential Dividend Yield Equity Fund - Regular Plan","Unrated","1.25","42/61","4.39","50/61","9.39","56/56","-","-","-","-","-","-"
"ICICI Prudential Dynamic Fund - Regular Plan","* * * ","-0.5","123/135","-0.46","135/135","8.16","117/125","21.29","48/66","12.52","35/61","18.52","6/28"
"ICICI Prudential Exports and Other Services Fund - Regular Plan","Unrated","4.68","-","10.09","-","35.7","-","42.64","-","21.78","-","-","-"
"ICICI Prudential FMCG Fund - Regular Plan","Unrated","2.8","4/4","1.96","4/4","20.91","2/4","19.6","2/2","20.87","2/2","20.56","1/2"
"ICICI Prudential Focused Bluechip Equity Fund - Regular Plan","* * * * * ","1.06","43/148","4.1","59/145","14.81","48/143","22.91","9/75","14.07","3/64","-","-"
"ICICI Prudential Global Stable Equity Fund - Regular Plan","Unrated","-0.34","-","-2.3","-","9.2","-","-","-","-","-","-","-"
"ICICI Prudential Index Fund - Regular Plan","* * * ","-0.01","90/148","2.31","103/145","7.9","105/143","18.57","47/75","9.66","34/64","14.86","15/35"
"ICICI Prudential Indo Asia Equity Fund - Regular Plan","* * * * * ","-0.95","133/135","-0.29","134/135","19.4","71/125","26.28","17/66","15.47","6/61","-","-"
"ICICI Prudential Infrastructure Fund - Regular Plan","* * * ","2.02","22/43","4.96","26/43","14.4","29/43","20.6","8/22","7.07","8/20","-","-"
